date,exercise,water,reading,meditation,mood,journal_text
2025-10-06,1,0,0,0,Sad,"Low energy today, couldn't exercise much."
2025-10-07,1,0,0,1,Happy,"Accomplished all goals, feeling proud."
2025-10-08,0,1,0,1,Neutral,"Average day, some progress made."
2025-10-09,1,0,1,1,Happy,"Meditation helped improve my focus."
2025-10-10,1,0,0,1,Neutral,"Feeling balanced and positive overall."
2025-10-11,1,1,0,1,Happy,"Felt productive and energetic today!"
2025-10-12,0,0,1,1,Angry,"Had a peaceful day with a good reading session."
2025-10-13,1,0,0,0,Sad,"Low energy today, couldn't exercise much."
2025-10-14,1,1,1,1,Happy,"Accomplished all goals, feeling proud."
2025-10-15,0,1,1,1,Neutral,"Average day, some progress made."
2025-10-16,1,0,0,1,Happy,"Meditation helped improve my focus."
2025-10-17,1,1,0,1,Neutral,"Feeling balanced and positive overall."
2025-10-18,1,1,0,0,Happy,"Felt productive and energetic today!"
2025-10-19,0,0,0,1,Angry,"Couldnt have a single peaceful moment with a good reading session."
2025-10-20,1,1,0,0,Sad,"Low energy today, couldn't exercise much."
2025-10-21,1,1,1,1,Happy,"Accomplished all goals, feeling proud."
2025-10-22,0,1,1,0,Neutral,"Average day, some progress made."
2025-10-23,1,0,0,1,Happy,"Meditation helped improve my focus."
2025-10-24,1,1,0,1,Sad,"Feeling broke from inside."
2025-10-25,1,1,0,1,Neutral,"I guess this is how things are."
2025-10-26,1,1,0,1,Happy,"I meditated for 20 minutes and I feel rejuvinated."


